R catalysts,S catalysts
1_1_1_30,272_1_1_5
1_1_1_10,273_1_1_3
1_1_1_3,1_1_1_30
1_1_1_4,1_1_1_10
1_1_1_5,1_1_1_3
1_1_1_6,1_1_1_4
1_1_1_32,1_1_1_5
1_1_1_22,1_1_1_6
1_1_1_1,1_1_1_32
aa_18,1_1_1_22
aa_14,1_1_1_1
190_1_1_14,aa_18
6_1_1_14,1_1_1_14
6_4_1_14,190_1_1_14
11_1_1_1,6_1_1_14
aa_2,6_4_1_14
1_1_1_2,aa_14
272_1_1_2,6_1_1_30
190_1_1_2,11_1_1_1
87_1_1_2,1_1_1_2
6_1_1_2,52_1_1_2
6_1_2_2,274_1_1_2
6_4_1_2,190_1_1_2
3_1_1_30,275_1_1_2
3_1_1_2,87_1_1_2
3_1_1_14,281_1_1_2
3_1_1_10,74_1_1_2
3_1_1_4,6_4_4_2
3_1_1_5,6_1_1_2
3_1_1_6,6_4_1_2
3_1_1_32,6_1_4_2
3_1_1_22,aa_2
3_1_1_1,6_1_1_38
aa_21,1_1_1_9
1_1_1_21,276_1_1_9
3_1_1_21,51_1_1_2
249_1_1_21,51_1_1_1
190_1_1_21,273_1_1_3
6_1_1_21,3_1_1_30
6_4_1_21,3_1_1_2
6_1_1_33,3_1_1_39
6_1_1_34,3_1_1_40
6_1_1_35,3_1_1_14
249_1_1_2,3_1_1_10
249_1_1_14,3_1_1_3
249_1_1_10,3_1_1_4
249_1_1_1,3_1_1_5
6_1_1_30,3_1_1_6
6_1_4_30,3_1_1_32
aa_30,3_1_1_22
6_1_1_30,3_1_1_1
6_4_1_30,1_1_1_21
aa_10,3_1_1_21
6_1_1_10,225_1_1_21
6_4_1_10,190_1_1_21
190_1_1_36,6_1_1_21
190_1_1_37,6_4_1_21
190_1_1_10,aa_21
190_1_1_3,6_1_1_33
190_1_1_5,277_1_1_2
190_1_1_32,278_1_1_2
190_1_1_22,249_1_1_2
190_1_1_1,249_1_1_14
6_1_1_36,249_1_1_10
6_1_1_3,249_1_1_1
6_1_1_4,127_1_1_2
6_1_1_5,15_1_1_2
6_1_1_6,6_1_1_30
6_1_1_32,6_4_1_30
6_1_1_22,190_1_1_30
6_1_1_1,6_1_1_30
6_4_1_36,6_1_1_30
6_1_4_22,aa_30
6_4_1_3,6_1_1_10
6_4_1_4,6_4_1_10
6_4_1_5,aa_10
6_4_1_6,190_1_1_36
6_4_1_32,190_1_1_37
6_4_1_22,190_1_1_10
6_4_1_1,190_1_1_3
aa_22,190_1_1_4
aa_36,190_1_1_5
aa_3,190_1_1_6
aa_4,190_1_1_32
aa_5,190_1_1_22
aa_6,190_1_1_1
aa_32,6_1_4_22
aa_1,6_1_1_36
4_1_1_1,6_1_1_3
,6_1_1_4
,6_1_1_5
,6_1_1_6
,6_1_1_32
,6_1_1_34
,6_1_1_22
,6_1_1_1
,6_4_1_36
,6_4_1_3
,6_4_1_4
,6_4_1_5
,6_4_1_6
,6_4_1_32
,6_4_1_22
,6_4_1_1
,aa_22
,aa_36
,aa_3
,aa_4
,aa_5
,aa_6
,aa_32
,aa_1
