Merck label,Denmark label,stereochemistry at 4 position
Box-1,6_1_1_1,S
Box-2,3_1_1_1,S
Box-3,1_1_1_1,S
Box-4,aa_1,R
Box-5,no label,n/a
Box-6,6_1_1_2,R
Box-7,5_1_1_2,S
Box-8,190_1_1_2,R
Box-9,3_1_1_2,S
Box-10,1_1_1_2,S
Box-11,no label,n/a
Box-12,1_1_1_25,S
Box-13,6_1_1_21,S
Box-14,190_1_1_21,S
Box-15,3_1_1_21,S
Box-16,1_1_1_21,S
Box-17,no label,n/a
Box-18,1_1_1_7,S
Box-19,1_1_1_3,S
Box-20,1_1_1_5,S
Box-21,1_1_1_6,S
Box-22,1_1_1_22,S
Box-23,1_1_1_26,S
Box-24,1_1_1_24,S
Box II -1,6_1_1_30,S
Box II -2,11_1_1_30,S
Box II -3,1_1_1_30,S
Box II -4,no label,n/a
Box II -5,1_1_1_27,S
Box II -6,1_1_1_28,S
Box II -7,no label,n/a
Box II -8,6_1_1_14,S
Box II -9,1_1_1_14,S
Box II -10,1_1_1_29,S
Box II -11,no label,n/a
Box II -12,1_1_1_19,S
Box II -13,1_1_1_15,S
Box II -14,1_1_1_20,S
Box II -15,1_1_1_18,S
Box II -16,aa_18,S
Box II -17,no label,n/a
Box II -18,no label,n/a
Box II -19,no label,n/a
Box II -20,no label,n/a
Box II -21,no label,n/a
Box II -22,no label,n/a
Box II -23,no label,n/a
Box II -24,no label,n/a
SED 9-1-1-17,90_1_1_17,S
SED: 90-1-1-17,90_1_1_17,S
SED 7-2-1-2,7_1_2_2,R
SED 14-1-1-13,14_1_1_13,S
SED: BJ-2020-060,281_4_4_2,R
22_4_4_28,22_4_4_28,R
249_4_4_3,249_4_4_3,R
172_2_2_17,171_2_2_17,R
SED: BJ-2020-059,227_2_2_2,R
254_2_2_11,254_2_2_11,R
16_1_3_9,16_3_1_9,R
200_1_3_21,200_3_1_21,R
73_1_3_29,73_3_1_29,R
14_1_2_14,14_1_2_14,S
56_1_2_1,56_2_1_1,R
ACK-2020-091,7_2_1_2,R
diMe-tBu-262,1_4_1_2,R
187_4_1_30,187_1_4_30,R
diMe-187_4_1_30,187_1_4_2,R
185_2_1_10,185_2_1_10,S
diMe-185_2_1_10,185_1_2_2,R
185_2_1_15,154_1_2_15,R
3_2_1_18,3_1_2_18,R
250_3_1_12,250_1_3_12,R
252_1_1_8,252_1_1_8,R
225_1_1_13,225_1_1_13,R
diMe-225_1_1_13,225_1_1_2,R
77-1-2-11,77_1_2_11,R
189-1-2-11,189_1_2_11,R
77-1-2-12,77_1_2_12,R
189-1-2-12,189_1_2_12,R
CO-2022-071,48_2_1_10,R
CO-2022-096,426_1_2_11,R
CO-2022-104,434_3_1_11,R
CO-2022-105,309_3_1_11,R
CO-2022-074,188_2_1_12,R
CO-2022-070,124_2_1_11,R
CO-2022-077,77_2_1_11,R
CO-2022-062,30_3_1_11,R
SED 14_1_2_14,14_1_2_14,S
