pdt,Merck label,ee,dr
PDT1,CO-2022-071,1.2%,7.28
PDT1,CO-2022-071,1.3%,6.84
PDT1,CO-2022-096,-0.3%,7.32
PDT1,CO-2022-096,-0.3%,7.38
PDT1,CO-2022-104,-0.3%,7.20
PDT1,CO-2022-104,-0.1%,7.19
PDT1,CO-2022-105,0.2%,7.18
PDT1,CO-2022-105,0.7%,6.79
PDT1,CO-2022-074,-1.2%,7.38
PDT1,CO-2022-074,-1.2%,6.85
PDT1,CO-2022-070,0.8%,7.05
PDT1,CO-2022-070,-0.9%,7.57
PDT1,CO-2022-077,-0.2%,6.47
PDT1,CO-2022-077,0.1%,6.52
PDT1,CO-2022-062,-0.1%,5.66
PDT1,CO-2022-062,0.7%,3.94
PDT4,CO-2022-071,47.0%,3.09
PDT4,CO-2022-071,48.6%,2.90
PDT4,CO-2022-096,87.6%,16.93
PDT4,CO-2022-096,89.1%,13.75
PDT4,CO-2022-104,82.8%,10.40
PDT4,CO-2022-104,81.4%,5.76
PDT4,CO-2022-105,85.7%,12.53
PDT4,CO-2022-105,88.5%,14.37
PDT4,CO-2022-074,75.8%,3.15
PDT4,CO-2022-074,73.0%,2.69
PDT4,CO-2022-070,79.0%,9.25
PDT4,CO-2022-070,51.6%,4.58
PDT4,CO-2022-077,76.6%,7.75
PDT4,CO-2022-077,76.0%,8.05
PDT4,CO-2022-062,68.2%,2.66
PDT4,CO-2022-062,69.4%,2.97
PDT6,CO-2022-071,87.2%,0.80
PDT6,CO-2022-071,86.4%,1.19
PDT6,CO-2022-096,89.9%,9.25
PDT6,CO-2022-096,90.0%,16.52
PDT6,CO-2022-104,89.2%,5.96
PDT6,CO-2022-104,89.3%,9.22
PDT6,CO-2022-105,89.5%,6.36
PDT6,CO-2022-105,89.6%,10.50
PDT6,CO-2022-074,81.5%,0.89
PDT6,CO-2022-074,81.6%,1.31
PDT6,CO-2022-070,86.4%,7.12
PDT6,CO-2022-070,82.5%,9.07
PDT6,CO-2022-077,84.2%,6.02
PDT6,CO-2022-077,84.7%,9.03
PDT6,CO-2022-062,82.1%,2.40
PDT6,CO-2022-062,81.6%,3.34
PDT5,CO-2022-071,97.6%,1.44
PDT5,CO-2022-071,97.4%,1.56
PDT5,CO-2022-096,98.4%,7.06
PDT5,CO-2022-096,98.4%,7.39
PDT5,CO-2022-104,98.5%,5.54
PDT5,CO-2022-104,98.4%,5.95
PDT5,CO-2022-105,98.3%,5.08
PDT5,CO-2022-105,98.2%,5.67
PDT5,CO-2022-074,97.5%,1.55
PDT5,CO-2022-074,97.5%,1.62
PDT5,CO-2022-070,98.4%,4.66
PDT5,CO-2022-070,98.2%,4.84
PDT5,CO-2022-077,98.3%,3.33
PDT5,CO-2022-077,98.0%,3.50
PDT5,CO-2022-062,97.0%,1.80
PDT5,CO-2022-062,96.5%,1.80
1D,CO-2022-071,81.1%,2.45
1D,CO-2022-071,80.8%,2.30
1D,CO-2022-096,72.5%,9.31
1D,CO-2022-096,73.6%,8.88
1D,CO-2022-104,72.4%,4.27
1D,CO-2022-104,72.9%,4.39
1D,CO-2022-105,77.5%,6.87
1D,CO-2022-105,76.2%,6.96
1D,CO-2022-074,66.2%,3.67
1D,CO-2022-074,63.5%,3.66
1D,CO-2022-070,68.0%,7.18
1D,CO-2022-070,68.9%,7.35
1D,CO-2022-077,72.2%,7.72
1D,CO-2022-077,71.4%,7.73
1D,CO-2022-062,75.6%,3.59
1D,CO-2022-062,77.7%,3.87
1E,CO-2022-071,71.5%,0.88
1E,CO-2022-071,70.7%,0.86
1E,CO-2022-096,88.3%,7.45
1E,CO-2022-096,86.0%,7.02
1E,CO-2022-104,82.8%,4.78
1E,CO-2022-104,83.4%,4.57
1E,CO-2022-105,88.4%,3.28
1E,CO-2022-105,83.0%,2.86
1E,CO-2022-074,78.7%,0.63
1E,CO-2022-074,79.2%,0.61
1E,CO-2022-070,80.5%,3.57
1E,CO-2022-070,81.6%,3.38
1E,CO-2022-077,82.2%,2.12
1E,CO-2022-077,79.2%,2.03
1E,CO-2022-062,60.5%,0.54
1E,CO-2022-062,67.1%,0.58
PDT1,77-1-2-11,-0.8%,5.25
PDT1,77-1-2-11,-0.4%,4.72
PDT1,77-1-2-12,-0.1%,4.97
PDT1,77-1-2-12,1.3%,5.14
PDT1,189-1-2-11,-0.8%,4.93
PDT1,189-1-2-11,1.4%,2.32
PDT1,189-1-2-12,1.0%,1.43
PDT1,189-1-2-12,-1.2%,1.36
PDT4,77-1-2-11,80.0%,10.91
PDT4,77-1-2-11,79.7%,11.12
PDT4,77-1-2-12,79.1%,8.38
PDT4,77-1-2-12,76.6%,8.23
PDT4,189-1-2-11,66.8%,6.69
PDT4,189-1-2-11,65.1%,6.83
PDT4,189-1-2-12,71.9%,6.27
PDT4,189-1-2-12,70.3%,6.19
PDT6,77-1-2-11,86.8%,19.26
PDT6,77-1-2-11,87.3%,21.30
PDT6,77-1-2-12,76.8%,9.27
PDT6,77-1-2-12,72.9%,7.70
PDT6,189-1-2-11,77.9%,12.01
PDT6,189-1-2-11,77.9%,12.14
PDT6,189-1-2-12,70.9%,7.34
PDT6,189-1-2-12,70.4%,7.50
PDT5,77-1-2-11,85.5%,14.22
PDT5,77-1-2-11,86.4%,15.76
PDT5,77-1-2-12,72.3%,5.59
PDT5,77-1-2-12,77.2%,7.98
PDT5,189-1-2-11,77.7%,9.82
PDT5,189-1-2-11,75.6%,8.11
PDT5,189-1-2-12,73.0%,5.97
PDT5,189-1-2-12,74.1%,7.34
1D,77-1-2-11,74.3%,12.40
1D,77-1-2-11,74.9%,11.92
1D,77-1-2-12,67.5%,8.13
1D,77-1-2-12,66.9%,8.11
1D,189-1-2-11,66.7%,10.50
1D,189-1-2-11,66.2%,9.72
1D,189-1-2-12,63.3%,8.27
1D,189-1-2-12,62.9%,8.02
1E,77-1-2-11,95.5%,3.99
1E,77-1-2-11,94.7%,3.79
1E,77-1-2-12,88.8%,2.28
1E,77-1-2-12,88.9%,2.25
1E,189-1-2-11,88.1%,4.04
1E,189-1-2-11,88.7%,4.11
1E,189-1-2-12,83.8%,2.77
1E,189-1-2-12,83.0%,2.64
