pdt,Merck label,ee,dr
PDT4,Box-1,-34.40%,1.850119647
PDT4,Box-3,9.30%,3.808615949
PDT4,Box-4,-4.30%,2.165674161
PDT4,Box-7,-32.90%,1.074170739
PDT4,Box-8,-2.90%,1.820910225
PDT4,Box-13,1.00%,2.301513845
PDT4,Box-15,0.60%,1.892408068
PDT4,Box-18,-75.40%,8.419110453
PDT4,Box-19,0.20%,9.585470734
PDT4,Box-22,-34.90%,6.832403263
PDT4,Box-23,-45.70%,5.822335403
PDT4,Box-24,-41.20%,6.711967223
PDT4,Box II -2,-2.20%,2.338774389
PDT4,Box II -3,-7.90%,1.997006875
PDT4,Box II -5,-58.90%,5.751373821
PDT4,Box II -8,-78.60%,9.05536999
PDT4,Box II -10,-37.70%,1.40720098
PDT4,Box II -13,-71.70%,7.88568088
PDT4,Box II -14,-66.30%,3.565172548
PDT4,Box II -15,-72.40%,4.25577721
PDT4,Box II -16,-2.60%,0.947627534
PDT4,SED 9-1-1-17,-72.20%,4.222270895
PDT4,SED 7-2-1-2,52.50%,2.33115111
PDT4,SED 14-1-1-13,-35.70%,3.34360574
PDT4,Box-1,-33.90%,2.853996346
PDT4,Box-3,10.70%,5.485640173
PDT4,Box-4,-1.90%,2.470618897
PDT4,Box-7,-33.40%,1.164693729
PDT4,Box-8,-2.90%,1.937410065
PDT4,Box-13,0.80%,2.338332947
PDT4,Box-15,0.60%,1.955178447
PDT4,Box-18,-76.30%,8.922185675
PDT4,Box-19,0.00%,9.79607705
PDT4,Box-22,-35.50%,7.300243862
PDT4,Box-23,-45.70%,6.076759499
PDT4,Box-24,-42.40%,7.311964617
PDT4,Box II -2,-0.50%,2.41921794
PDT4,Box II -3,-6.50%,2.083318668
PDT4,Box II -5,-61.80%,6.05076321
PDT4,Box II -8,-79.10%,9.620540406
PDT4,Box II -10,-38.90%,1.480850922
PDT4,Box II -13,-71.90%,7.890590677
PDT4,Box II -14,-66.40%,3.580243989
PDT4,Box II -15,-72.70%,4.297464148
PDT4,Box II -16,-3.20%,0.947383349
PDT4,SED 9-1-1-17,-74.20%,4.580174738
PDT4,SED 7-2-1-2,52.70%,2.435429142
PDT4,SED 14-1-1-13,-34.00%,3.342397855
PDT5,Box-1,-62.50%,4.59
PDT5,Box-3,-4.10%,2.31
PDT5,Box-4,14.20%,1.82
PDT5,Box-7,-58.40%,0.82
PDT5,Box-8,-4.10%,1.81
PDT5,Box-13,-4.40%,2.20
PDT5,Box-15,-1.40%,2.44
PDT5,Box-18,-73.70%,8.21
PDT5,Box-19,-12.40%,7.91
PDT5,Box-22,-42.70%,6.36
PDT5,Box-23,-54.10%,6.17
PDT5,Box-24,-51.50%,6.74
PDT5,Box II -2,-32.70%,2.82
PDT5,Box II -3,-48.40%,1.96
PDT5,Box II -5,-58.60%,5.04
PDT5,Box II -8,-81.30%,10.32
